Index,Lat,Lon,GPS time,UTC,Alt (MSL)
75,29.18861200,-81.04858083,2403:155662.000,19:14:04.000 01/26/2026,19.400
76,29.18860833,-81.04858550,2403:155663.000,19:14:05.000 01/26/2026,19.200
77,29.18860617,-81.04858733,2403:155664.000,19:14:06.000 01/26/2026,19.800
78,29.18860700,-81.04858600,2403:155665.000,19:14:07.000 01/26/2026,20.700
79,29.18860700,-81.04858850,2403:155666.000,19:14:08.000 01/26/2026,21.000
80,29.18860750,-81.04859017,2403:155667.000,19:14:09.000 01/26/2026,22.000
81,29.18860800,-81.04858417,2403:155668.000,19:14:10.000 01/26/2026,22.300
82,29.18860283,-81.04858283,2403:155669.000,19:14:11.000 01/26/2026,23.000
83,29.18860467,-81.04858417,2403:155670.000,19:14:12.000 01/26/2026,23.500
84,29.18860733,-81.04858400,2403:155671.000,19:14:13.000 01/26/2026,24.200
85,29.18860817,-81.04858367,2403:155672.000,19:14:14.000 01/26/2026,24.500
86,29.18860883,-81.04858300,2403:155673.000,19:14:15.000 01/26/2026,24.800
87,29.18861000,-81.04858217,2403:155674.000,19:14:16.000 01/26/2026,25.100
88,29.18861150,-81.04858133,2403:155675.000,19:14:17.000 01/26/2026,25.600
